externalId,subjectCode,chapterName,topic,difficulty,questionType,year,tags,contentClassification,sourceType,sourceName,exam,examYear,paperSession,licenseReference,reviewer,reviewDate,correctOption,en_questionText,en_optionA,en_optionB,en_optionC,en_optionD,en_explanation,ta_questionText,ta_optionA,ta_optionB,ta_optionC,ta_optionD,ta_explanation,ta_reviewed
SIV-NEET-PHY-0011,PHYSICS,Electrostatics,Potential,HARD,SINGLE_CORRECT,,potential,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,C,Electric potential is a,vector,force,scalar,charge,Potential has magnitude only,,,,,,,
SIV-NEET-PHY-0012,PHYSICS,Electrostatics,Capacitance,MEDIUM,SINGLE_CORRECT,,capacitor,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,D,Capacitance is measured in,ohm,volt,coulomb,farad,Farad is the SI unit of capacitance,,,,,,,
SIV-NEET-PHY-0013,PHYSICS,Current Electricity,Ohm law,EASY,SINGLE_CORRECT,,current,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,A,Ohm law is,V = IR,V = I/R,I = VR,R = VI,Voltage equals current times resistance,,,,,,,
SIV-NEET-PHY-0014,PHYSICS,Current Electricity,Series circuit,MEDIUM,SINGLE_CORRECT,,resistance,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,B,In a series circuit the same quantity through each resistor is,current,voltage,resistance,power,There is one path so current is common,,,,,,,
SIV-NEET-PHY-0015,PHYSICS,Current Electricity,Resistivity,HARD,SINGLE_CORRECT,,resistance,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,C,At a fixed temperature resistivity is characteristic of the,wire length,wire area,material,current,Resistivity is a characteristic property of a material at a specified temperature,,,,,,,
SIV-NEET-PHY-0016,PHYSICS,Current Electricity,Electric power,MEDIUM,SINGLE_CORRECT,,power,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,D,Electric power can be written as,IR,V/R,I/R,V I,Power equals voltage times current,,,,,,,
SIV-NEET-PHY-0017,PHYSICS,Modern Physics,Photoelectric effect,EASY,SINGLE_CORRECT,,photon,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,A,Photoelectric emission requires light above a,threshold frequency,threshold mass,threshold charge,threshold resistance,Photon energy must exceed work function,,,,,,,
SIV-NEET-PHY-0018,PHYSICS,Modern Physics,Radioactivity,MEDIUM,SINGLE_CORRECT,,nucleus,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,B,Alpha decay decreases mass number by,two,four,one,zero,An alpha particle has four nucleons,,,,,,,
SIV-NEET-PHY-0019,PHYSICS,Modern Physics,Bohr model,HARD,SINGLE_CORRECT,,atom,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,C,Bohr angular momentum is,continuous,zero,quantized,infinite,Bohr postulated quantized angular momentum,,,,,,,
SIV-NEET-PHY-0020,PHYSICS,Modern Physics,Half life,MEDIUM,SINGLE_CORRECT,,radioactivity,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,D,After one half life the undecayed nuclei are,all,one fourth,none,one half,Half life leaves half the original nuclei,,,,,,,
SIV-NEET-CHE-0001,CHEMISTRY,Some Basic Concepts of Chemistry,Mole concept,EASY,SINGLE_CORRECT,,mole,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,B,One mole contains,6.022e22 particles,6.022e23 particles,3.011e23 particles,1.204e24 particles,One mole contains Avogadro number of entities,,,,,,,
SIV-NEET-CHE-0002,CHEMISTRY,Some Basic Concepts of Chemistry,Molar mass,MEDIUM,SINGLE_CORRECT,,molar-mass,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,C,The molar mass of water is,16 g mol-1,17 g mol-1,18 g mol-1,20 g mol-1,H2O has mass 2 plus 16 = 18 g mol-1,,,,,,,
SIV-NEET-CHE-0003,CHEMISTRY,Some Basic Concepts of Chemistry,Stoichiometry,HARD,SINGLE_CORRECT,,stoichiometry,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,A,How many moles are present in 11 g of CO2,0.25,0.5,1,2,Moles = mass divided by molar mass = 11 divided by 44 = 0.25,,,,,,,
SIV-NEET-CHE-0004,CHEMISTRY,Some Basic Concepts of Chemistry,Empirical formula,MEDIUM,SINGLE_CORRECT,,formula,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,D,The empirical formula of hydrogen peroxide is,H2O2,HO2,H2O,HO,The simplest whole-number ratio is H:O = 1:1,,,,,,,
SIV-NEET-CHE-0005,CHEMISTRY,Chemical Bonding,Ionic bond,EASY,SINGLE_CORRECT,,bonding,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,B,An ionic bond is formed mainly by,sharing electrons,transfer of electrons,sharing protons,transfer of neutrons,Ionic bonding follows electron transfer and electrostatic attraction,,,,,,,
SIV-NEET-CHE-0006,CHEMISTRY,Chemical Bonding,VSEPR theory,MEDIUM,SINGLE_CORRECT,,geometry,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,C,The shape of methane is,linear,trigonal planar,tetrahedral,bent,Four bond pairs around carbon arrange tetrahedrally,,,,,,,
SIV-NEET-CHE-0007,CHEMISTRY,Chemical Bonding,Hybridisation,HARD,SINGLE_CORRECT,,hybridisation,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,A,The hybridisation of carbon in ethyne is,sp,sp2,sp3,dsp2,Each carbon has two electron domains in ethyne,,,,,,,
SIV-NEET-CHE-0008,CHEMISTRY,Chemical Bonding,Polarity,MEDIUM,SINGLE_CORRECT,,polarity,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,D,Which molecule is nonpolar despite polar bonds,HCl,H2O,NH3,CO2,Linear CO2 has cancelling bond dipoles,,,,,,,
SIV-NEET-CHE-0009,CHEMISTRY,Equilibrium,Dynamic equilibrium,EASY,SINGLE_CORRECT,,equilibrium,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,A,At dynamic equilibrium forward and reverse reaction rates are,equal,zero,unequal,infinite,Concentrations remain constant because rates are equal,,,,,,,
SIV-NEET-CHE-0010,CHEMISTRY,Equilibrium,Le Chatelier principle,MEDIUM,SINGLE_CORRECT,,equilibrium,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,B,For an equilibrium involving gases increasing pressure favours the side with,fewer reactants,fewer gas moles,more gas moles,more solids,Pressure shifts a gaseous equilibrium toward fewer gaseous moles,,,,,,,
SIV-NEET-CHE-0011,CHEMISTRY,Equilibrium,pH,HARD,SINGLE_CORRECT,,acid-base,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,C,The pH of 0.001 M HCl is,1,2,3,11,HCl is strong so hydrogen ion concentration is 10^-3 M,,,,,,,
SIV-NEET-CHE-0012,CHEMISTRY,Equilibrium,Catalyst,MEDIUM,SINGLE_CORRECT,,catalyst,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,D,A catalyst at equilibrium changes,only forward rate,only reverse rate,equilibrium constant,neither equilibrium position nor constant,A catalyst speeds both directions equally,,,,,,,
SIV-NEET-CHE-0013,CHEMISTRY,Basic Organic Chemistry,Homologous series,EASY,SINGLE_CORRECT,,organic,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,A,Successive members of a homologous series differ by,CH2,CH3,OH,COOH,Each successive member differs by one CH2 unit,,,,,,,
SIV-NEET-CHE-0014,CHEMISTRY,Basic Organic Chemistry,IUPAC nomenclature,MEDIUM,SINGLE_CORRECT,,nomenclature,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,B,The IUPAC name of CH3CH2OH is,methanol,ethanol,propanol,ethanal,The chain has two carbons and an alcohol group,,,,,,,
SIV-NEET-CHE-0015,CHEMISTRY,Basic Organic Chemistry,Inductive effect,HARD,SINGLE_CORRECT,,electronic-effects,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,C,The -I effect means electron density is,donated by sigma bonds,delocalized by pi bonds,withdrawn through sigma bonds,added to a cation,Inductive withdrawal operates through sigma bonds,,,,,,,
SIV-NEET-CHE-0016,CHEMISTRY,Basic Organic Chemistry,Isomerism,MEDIUM,SINGLE_CORRECT,,isomerism,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,D,Butane and isobutane are,position isomers,functional isomers,geometrical isomers,chain isomers,They differ in carbon skeleton arrangement,,,,,,,
SIV-NEET-CHE-0017,CHEMISTRY,Coordination Compounds,Ligand,EASY,SINGLE_CORRECT,,coordination,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,A,A ligand donates,a lone pair to metal,a proton to metal,a neutron to metal,an electron pair to itself,Ligands donate electron pairs to a central metal,,,,,,,
SIV-NEET-CHE-0018,CHEMISTRY,Coordination Compounds,Coordination number,MEDIUM,SINGLE_CORRECT,,coordination,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,B,The coordination number of [Co(NH3)6]3+ is,3,6,9,12,Six ammonia ligands are directly bonded to cobalt,,,,,,,
SIV-NEET-CHE-0019,CHEMISTRY,Coordination Compounds,Oxidation state,HARD,SINGLE_CORRECT,,coordination,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,C,Oxidation state of Fe in [Fe(CN)6]4- is,+1,+3,+2,+4,Six CN- give -6 and complex is -4 so Fe is +2,,,,,,,
SIV-NEET-CHE-0020,CHEMISTRY,Coordination Compounds,Werner theory,MEDIUM,SINGLE_CORRECT,,coordination,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,D,Primary valency in Werner theory is,nonionisable,directional,always six,ionisable,Primary valency corresponds to oxidation state and is ionisable,,,,,,,
SIV-NEET-BOT-0001,BOTANY,Cell: The Unit of Life,Plasma membrane,EASY,SINGLE_CORRECT,,cell;membrane,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,A,The plasma membrane is primarily composed of,lipids and proteins,cellulose and lignin,DNA and RNA,starch and glycogen,The fluid mosaic membrane contains lipids with embedded proteins,,,,,,,
SIV-NEET-BOT-0002,BOTANY,Cell: The Unit of Life,Ribosomes,MEDIUM,SINGLE_CORRECT,,cell;organelle,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,B,Ribosomes are the sites of,lipid storage,protein synthesis,ATP storage,cell division,Ribosomes translate mRNA into polypeptide chains,,,,,,,
SIV-NEET-BOT-0003,BOTANY,Cell: The Unit of Life,Endoplasmic reticulum,HARD,SINGLE_CORRECT,,cell;endomembrane,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,C,Which organelle is continuous with the outer nuclear membrane?,Golgi apparatus,Lysosome,Endoplasmic reticulum,Vacuole,The endoplasmic reticulum is continuous with the outer nuclear membrane,,,,,,,
SIV-NEET-BOT-0004,BOTANY,Cell: The Unit of Life,Cell wall,MEDIUM,SINGLE_CORRECT,,cell;plant-cell,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,D,The main structural polysaccharide of a plant cell wall is,chitin,peptidoglycan,glycogen,cellulose,Cellulose microfibrils provide strength to the plant cell wall,,,,,,,
SIV-NEET-BOT-0005,BOTANY,Plant Physiology,Water potential,EASY,SINGLE_CORRECT,,plant-physiology;water,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,A,Water moves spontaneously from a region of,higher water potential to lower water potential,lower water potential to higher water potential,higher solute concentration to lower solute concentration,lower pressure to higher pressure,Water moves down its water potential gradient,,,,,,,
SIV-NEET-BOT-0006,BOTANY,Plant Physiology,Transpiration,MEDIUM,SINGLE_CORRECT,,plant-physiology;transpiration,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,B,Most transpiration in a typical leafy plant occurs through,lenticels,stomata,roots,xylem vessels,Stomata are the principal route for water vapour loss from leaves,,,,,,,
SIV-NEET-BOT-0007,BOTANY,Plant Physiology,Photosynthesis,HARD,SINGLE_CORRECT,,plant-physiology;photosynthesis,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,C,The oxygen released during photosynthesis is derived from,carbon dioxide,glucose,water,chlorophyll,Photolysis of water in the light reaction releases molecular oxygen,,,,,,,
SIV-NEET-BOT-0008,BOTANY,Plant Physiology,Plant growth regulators,MEDIUM,SINGLE_CORRECT,,plant-physiology;hormones,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,D,Which plant hormone is commonly associated with stomatal closure during water stress?,Auxin,Gibberellin,Cytokinin,Abscisic acid,Abscisic acid promotes stomatal closure under water stress,,,,,,,
SIV-NEET-BOT-0009,BOTANY,Morphology of Flowering Plants,Root modification,EASY,SINGLE_CORRECT,,plant-morphology;root,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,A,In a typical tap root system the primary root develops from the,radicle,plumule,epicotyl,coleoptile,The radicle of the embryo gives rise to the primary root,,,,,,,
SIV-NEET-BOT-0010,BOTANY,Morphology of Flowering Plants,Leaf venation,MEDIUM,SINGLE_CORRECT,,plant-morphology;leaf,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,B,Parallel venation is characteristically found in,most dicot leaves,most monocot leaves,all gymnosperm leaves,all compound leaves,Monocot leaves commonly show parallel venation,,,,,,,
SIV-NEET-BOT-0011,BOTANY,Morphology of Flowering Plants,Inflorescence,HARD,SINGLE_CORRECT,,plant-morphology;flower,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,C,In racemose inflorescence the main axis,ends in a flower,has only one flower,continues to grow,forms no buds,The main axis continues to grow in racemose inflorescence,,,,,,,
SIV-NEET-BOT-0012,BOTANY,Morphology of Flowering Plants,Fruit,MEDIUM,SINGLE_CORRECT,,plant-morphology;fruit,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,D,After fertilisation the ovary generally develops into the,seed,embryo,endosperm,fruit,The mature ovary usually becomes the fruit,,,,,,,
SIV-NEET-BOT-0013,BOTANY,Principles of Inheritance and Variation,Monohybrid cross,EASY,SINGLE_CORRECT,,genetics;mendel,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,A,The phenotypic ratio in the F2 generation of a Mendelian monohybrid cross is,3:1,1:1,9:3:3:1,1:2:1,A heterozygote self-cross gives three dominant phenotype offspring for one recessive phenotype offspring,,,,,,,
SIV-NEET-BOT-0014,BOTANY,Principles of Inheritance and Variation,Incomplete dominance,MEDIUM,SINGLE_CORRECT,,genetics;inheritance,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,B,In incomplete dominance the heterozygote shows,a dominant parental phenotype,an intermediate phenotype,a recessive parental phenotype,no phenotype,Neither allele completely masks the other so the heterozygote is intermediate,,,,,,,
SIV-NEET-BOT-0015,BOTANY,Principles of Inheritance and Variation,Chromosomal inheritance,HARD,SINGLE_CORRECT,,genetics;chromosome,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,C,Genes located on the same chromosome tend to be,inherited independently,always identical,linked,expressed only in males,Genes on the same chromosome are linked although crossing over can recombine them,,,,,,,
SIV-NEET-BOT-0016,BOTANY,Principles of Inheritance and Variation,Pedigree analysis,MEDIUM,SINGLE_CORRECT,,genetics;pedigree,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,D,In a pedigree chart a horizontal line joining a circle and a square represents,a sibling pair,a fraternal twin pair,a descent line,a mating,The circle and square conventionally represent female and male and their joining line represents mating,,,,,,,
SIV-NEET-BOT-0017,BOTANY,Ecology and Environment,Food chain,EASY,SINGLE_CORRECT,,ecology;food-chain,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,A,The first trophic level in a grazing food chain is occupied by,producers,primary consumers,secondary consumers,decomposers,Green plants and other autotrophs capture energy and form the first trophic level,,,,,,,
SIV-NEET-BOT-0018,BOTANY,Ecology and Environment,Ecological pyramid,MEDIUM,SINGLE_CORRECT,,ecology;pyramid,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,B,Which ecological pyramid is always upright?,Pyramid of numbers,Pyramid of energy,Pyramid of biomass,Pyramid of standing crop,Energy is lost at each trophic transfer so the energy pyramid is always upright,,,,,,,
SIV-NEET-BOT-0019,BOTANY,Ecology and Environment,Population growth,HARD,SINGLE_CORRECT,,ecology;population,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,C,The maximum population size that a habitat can support sustainably is called,biotic potential,natality,carrying capacity,immigration,Carrying capacity is the upper limit set by available resources and conditions,,,,,,,
SIV-NEET-BOT-0020,BOTANY,Ecology and Environment,Biodiversity,MEDIUM,SINGLE_CORRECT,,ecology;biodiversity,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,D,The variety of species within a community is called,genetic diversity,ecosystem diversity,biome diversity,species diversity,Species diversity describes the variety of species in a community,,,,,,,
SIV-NEET-ZOO-0001,ZOOLOGY,Animal Kingdom,Symmetry,EASY,SINGLE_CORRECT,,animal-kingdom;symmetry,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,A,Animals with radial symmetry can be divided into similar halves by,more than one plane passing through the central axis,only one median plane,no plane at all,two unequal planes,Radially symmetrical animals have body parts arranged around a central axis,,,,,,,
SIV-NEET-ZOO-0002,ZOOLOGY,Animal Kingdom,Coelom,MEDIUM,SINGLE_CORRECT,,animal-kingdom;coelom,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,B,A true coelom is a body cavity lined completely by,ectoderm,endoderm,mesoderm,epidermis,A coelom is completely lined by mesoderm,,,,,,,
SIV-NEET-ZOO-0003,ZOOLOGY,Animal Kingdom,Chordates,HARD,SINGLE_CORRECT,,animal-kingdom;chordates,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,C,Which feature is present at some stage of life in all chordates?,Jointed appendages,Radula,Notochord,Exoskeleton,A notochord is a defining chordate feature at least during embryonic development,,,,,,,
SIV-NEET-ZOO-0004,ZOOLOGY,Animal Kingdom,Arthropods,MEDIUM,SINGLE_CORRECT,,animal-kingdom;arthropods,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,D,The exoskeleton of arthropods is mainly made of,cellulose,keratin,calcium phosphate,chitin,Chitin forms the principal exoskeleton material in arthropods,,,,,,,
SIV-NEET-ZOO-0005,ZOOLOGY,Digestion and Absorption,Digestion of proteins,EASY,SINGLE_CORRECT,,digestion;enzyme,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,A,The inactive precursor pepsinogen is secreted by,chief cells of the stomach,goblet cells of the intestine,hepatocytes of the liver,acinar cells of the pancreas,Chief cells secrete pepsinogen which is activated in the acidic stomach lumen,,,,,,,
SIV-NEET-ZOO-0006,ZOOLOGY,Digestion and Absorption,Bile,MEDIUM,SINGLE_CORRECT,,digestion;bile,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,B,The main role of bile salts in digestion is to,hydrolyse proteins,emulsify fats,activate pepsin,absorb glucose,Bile salts disperse large fat globules into smaller droplets for lipase action,,,,,,,
SIV-NEET-ZOO-0007,ZOOLOGY,Digestion and Absorption,Absorption,HARD,SINGLE_CORRECT,,digestion;absorption,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,C,Most absorption of digested nutrients occurs in the,stomach,large intestine,small intestine,oesophagus,The small intestine has villi and microvilli that provide a large absorptive surface,,,,,,,
SIV-NEET-ZOO-0008,ZOOLOGY,Digestion and Absorption,Pancreatic juice,MEDIUM,SINGLE_CORRECT,,digestion;pancreas,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,D,Which inactive protease precursor is present in pancreatic juice?,Ptyalin,Pepsin,Enterokinase,Trypsinogen,The pancreas secretes trypsinogen which is activated in the small intestine,,,,,,,
SIV-NEET-ZOO-0009,ZOOLOGY,Body Fluids and Circulation,Blood cells,EASY,SINGLE_CORRECT,,circulation;blood,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,A,The oxygen-carrying pigment in human red blood cells is,haemoglobin,melanin,insulin,keratin,Haemoglobin reversibly binds oxygen for transport in red blood cells,,,,,,,
SIV-NEET-ZOO-0010,ZOOLOGY,Body Fluids and Circulation,Cardiac cycle,MEDIUM,SINGLE_CORRECT,,circulation;heart,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,B,The chamber that pumps oxygenated blood into the aorta is,right atrium,left ventricle,right ventricle,left atrium,The left ventricle has a thick wall and pumps oxygenated blood to the body through the aorta,,,,,,,
SIV-NEET-ZOO-0011,ZOOLOGY,Body Fluids and Circulation,ECG,HARD,SINGLE_CORRECT,,circulation;ecg,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,C,In a normal electrocardiogram the QRS complex represents,atrial depolarisation,atrial repolarisation,ventricular depolarisation,ventricular repolarisation,The QRS complex records ventricular depolarisation,,,,,,,
SIV-NEET-ZOO-0012,ZOOLOGY,Body Fluids and Circulation,Blood pressure,MEDIUM,SINGLE_CORRECT,,circulation;blood-pressure,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,D,The pressure recorded during ventricular relaxation is called,systolic pressure,pulse pressure,mean arterial pressure,diastolic pressure,Diastolic pressure is the lower arterial pressure during ventricular relaxation,,,,,,,
SIV-NEET-ZOO-0013,ZOOLOGY,Human Reproduction,Gametogenesis,EASY,SINGLE_CORRECT,,reproduction;gametogenesis,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,A,Spermatogenesis occurs in the,seminiferous tubules,vas deferens,prostate gland,epididymis,Spermatogenesis takes place in the seminiferous tubules of the testes,,,,,,,
SIV-NEET-ZOO-0014,ZOOLOGY,Human Reproduction,Menstrual cycle,MEDIUM,SINGLE_CORRECT,,reproduction;menstrual-cycle,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,B,Ovulation is triggered by a surge in,prolactin,luteinising hormone,thyroxine,oxytocin,The mid-cycle luteinising hormone surge triggers ovulation,,,,,,,
SIV-NEET-ZOO-0015,ZOOLOGY,Human Reproduction,Placenta,HARD,SINGLE_CORRECT,,reproduction;pregnancy,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,C,The hormone hCG is produced mainly by the,ovarian follicle,anterior pituitary,placenta,thyroid gland,The placenta produces hCG during pregnancy,,,,,,,
SIV-NEET-ZOO-0016,ZOOLOGY,Human Reproduction,Fertilisation,MEDIUM,SINGLE_CORRECT,,reproduction;fertilisation,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,SIVORA Editorial,2026-09-19,D,The acrosome of a sperm contains,mitochondria,chromosomes,ribosomes,enzymes that help penetrate the ovum,Acrosomal enzymes assist sperm penetration through the egg coverings,,,,,,,
